City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
32,Aquiraz,BR,78.89,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
33,Kavaratti,IN,82.69,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
34,Ajdabiya,LY,77.14,clear sky,30.7554,20.2263,Almadina Hotel
35,Mandalgovi,MN,70.39,broken clouds,45.7625,106.2708,В.Ганбат
36,Ponta Do Sol,PT,67.01,broken clouds,32.6667,-17.1,Hotel do Campo
37,Kavieng,PG,82.54,light rain,-2.5744,150.7967,Nusa Island Retreat
38,Naze,JP,79.72,overcast clouds,28.3667,129.4833,Shishime Hotel
39,Bambous Virieux,MU,74.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
40,High Rock,BS,80.62,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
41,Gulf Gate Estates,US,78.13,clear sky,27.2517,-82.5147,Best Western Plus Siesta Key Gateway
42,Dudinka,RU,74.62,overcast clouds,69.4058,86.1778,Hotel Viktoria
43,Butaritari,KI,83.08,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
44,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
45,Iralaya,HN,79.99,overcast clouds,15.0,-83.2333,Iglesia morava renovada
46,Auki,SB,82.02,overcast clouds,-8.7676,160.7034,Auki Motel
47,Vaini,TO,77.52,overcast clouds,-21.2,-175.2,Keleti Beach Resort
48,Odoyev,RU,66.94,overcast clouds,53.9393,36.6864,Odoyev.Sky
49,Norman Wells,CA,68.04,broken clouds,65.282,-126.8329,Heritage Hotel
50,Topchikha,RU,68.29,broken clouds,52.8192,83.1185,Gostinitsa
51,Kushiro,JP,68.95,scattered clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
52,Cockburn Town,TC,80.98,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
53,Muli,MV,83.46,broken clouds,2.9167,73.5667,Medhufushi Island Resort
54,Darnah,LY,74.12,clear sky,32.767,22.6367,فندق الفردوس
55,Manokwari,ID,82.78,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
56,Urumqi,CN,83.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
57,Bilma,NE,83.82,clear sky,18.6853,12.9164,Expeditions Ténére voyages
58,Vao,NC,71.02,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
59,Suluq,LY,74.86,clear sky,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
60,Caravelas,BR,69.91,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
61,Praia,CV,73.94,haze,14.9215,-23.5087,LT Aparthotel
62,Saint-Philippe,RE,70.11,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
63,Mayo,US,67.08,broken clouds,38.8876,-76.5119,Resorts Resource Group International
64,Eyl,SO,82.8,broken clouds,7.9803,49.8164,Amiin Hotel
65,Dongsheng,CN,82.2,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
66,Sao Filipe,CV,73.58,light rain,14.8961,-24.4956,Hotel Xaguate
67,San-Pedro,CI,75.25,overcast clouds,4.7485,-6.6363,Hotel Maria
68,Russellville,US,66.97,clear sky,35.2784,-93.1338,Hampton Inn Russellville
69,Hamada,JP,75.92,moderate rain,34.8833,132.0833,Shimane Hamada Washington Hotel Plaza
70,Jalu,LY,79.41,clear sky,29.0331,21.5482,صاحبة الفخامة
71,Banamba,ML,75.15,broken clouds,13.55,-7.45,Kassela de Banamba
72,Along,IN,72.84,overcast clouds,28.1667,94.7667,Hotel West
73,Lazaro Cardenas,MX,80.26,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
74,Meulaboh,ID,81.77,overcast clouds,4.1363,96.1285,Kost Pria
75,Isangel,VU,73.65,overcast clouds,-19.55,169.2667,Tanna Lodge
76,Kelo,TD,73.56,overcast clouds,9.3086,15.8066,Plantation de Kelo
77,Tual,ID,80.38,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
78,Moussoro,TD,84.43,overcast clouds,13.6408,16.4901,Hôtel Salama
79,Mahebourg,MU,75.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
80,Belmonte,BR,70.75,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
81,Madinat Sittah Uktubar,EG,74.8,clear sky,29.8167,31.05,Happy Kennel Academy
82,Nome,US,65.16,clear sky,64.5011,-165.4064,Dredge 7 Inn
83,Sao Jose Da Coroa Grande,BR,74.21,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
84,Lakatoro,VU,80.47,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
85,Carnarvon,AU,71.55,clear sky,-24.8667,113.6333,Hospitality Carnarvon
86,Bengkulu,ID,80.96,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
87,Pauini,BR,69.91,few clouds,-7.7136,-66.9764,Casa do Kiwliks
88,Hilo,US,76.73,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
89,Bakchar,RU,74.52,few clouds,57.0186,82.0711,Gostinitsa Gostevoy Dom
90,Dhidhdhoo,MV,82.11,broken clouds,6.8833,73.1,Dhidhoo beach
91,Touros,BR,73.06,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
92,Cabo San Lucas,MX,81.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
93,Duluth,US,77.07,clear sky,46.7833,-92.1066,South Pier Inn
94,Santa Isabel Do Rio Negro,BR,71.38,broken clouds,-0.4139,-65.0192,Hotel GSA
95,Alghero,IT,66.29,clear sky,40.5589,8.3181,Smy Carlos V Alghero
96,Gat,IL,75.07,clear sky,31.61,34.7642,OlusHome
97,Vichy,FR,67.1,scattered clouds,46.25,3.5833,Le Moulin Marin
98,Semey,KZ,80.82,clear sky,50.4111,80.2275,Grand Hotel Semey
99,Takoradi,GH,75.15,light rain,4.8845,-1.7554,Raybow International Hotel
100,Yar-Sale,RU,71.37,overcast clouds,66.8333,70.8333,Yalemd
101,Hashtrud,IR,71.49,clear sky,37.4779,47.0508,Hashtrud Farhangian Club
102,Inhambane,MZ,66.76,clear sky,-23.865,35.3833,Oceano
103,Minudasht,IR,80.92,scattered clouds,37.2289,55.3747,هتل قصر
104,Luwuk,ID,79.9,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
105,Maracacume,BR,71.24,scattered clouds,-2.0428,-45.9592,Hotel Ramos
106,Barao De Melgaco,BR,70.07,clear sky,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
107,Zhanaozen,KZ,81.79,clear sky,43.3,52.8,K.korabay 28A
108,Talnakh,RU,74.21,overcast clouds,69.4865,88.3972,Talnakh Hotel
109,Karratha,AU,80.73,clear sky,-20.7377,116.8463,ibis Styles Karratha
110,Kantunilkin,MX,73.65,overcast clouds,21.0917,-87.45,Posada Paraiso
111,Hunucma,MX,78.89,overcast clouds,21.0167,-89.8667,Casa de Maribel Pamplona Poot
112,Kibi,GH,67.6,broken clouds,6.1649,-0.5538,Gold City Hotel
113,Terralba,IT,76.86,clear sky,39.7192,8.6392,B&B Neverland
114,San Patricio,US,84.88,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
115,Asfi,MA,65.84,clear sky,32.2994,-9.2372,Hôtel Abda
116,Xifeng,CN,84.27,clear sky,42.7372,124.7222,Home Inn Hotel
117,Petropavlovsk-Kamchatskiy,RU,68.59,few clouds,53.0452,158.6483,The Hotel Petropavlovsky
118,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
119,Zalari,RU,74.44,broken clouds,53.5584,102.5065,"""Belyye Rosy"""
120,Zeya,RU,71.83,overcast clouds,53.75,127.2667,Kapital Inn
121,Tura,IN,80.53,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
122,Totness,SR,75.42,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
123,Faanui,PF,80.1,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
124,Sabha,LY,81.39,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
125,Romitan,UZ,83.07,overcast clouds,39.9343,64.3814,Hotel Temur
126,Bandarbeyla,SO,83.14,broken clouds,9.4942,50.8122,JABIR HOTEL
127,Arraial Do Cabo,BR,68.47,few clouds,-22.9661,-42.0278,Pousada Porto Praia
128,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
129,Fukue,JP,75.56,moderate rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
130,Kawalu,ID,84.65,scattered clouds,-7.3817,108.2082,West Jontor
131,Ayagoz,KZ,82.78,scattered clouds,47.9714,80.4392,ХАН
132,Papara,BR,77.4,clear sky,-3.9839,-38.7273,Bela vista Maranguape
133,Nagua,DO,76.51,overcast clouds,19.3832,-69.8474,Hotel Cambri
134,Savalou,BJ,71.91,overcast clouds,7.9281,1.9756,Hotel F&F
135,Sarrebourg,FR,68.81,clear sky,48.7333,7.05,ibis budget Sarrebourg Buhl
136,Niesky,DE,69.31,broken clouds,51.2924,14.8211,Ferienwohnung Niesky
137,Tazovskiy,RU,68.74,overcast clouds,67.4667,78.7,TazHostel
138,Tiarei,PF,80.01,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
139,Starkville,US,75.07,clear sky,33.4504,-88.8184,Hilton Garden Inn Starkville
140,Marawi,PH,76.91,light rain,7.9986,124.2928,Derogongan Residence
141,Shepsi,RU,72.52,few clouds,44.0361,39.1489,Otel' Chayka
142,Bratsk,RU,66.69,overcast clouds,56.1325,101.6142,"Gostinitsa ""Shvedka"""
143,Bubaque,GW,80.04,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
144,Voh,NC,71.49,clear sky,-20.9667,164.7,Le gîte du Koniambo
145,Vila Velha,BR,67.95,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
