City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Georgetown,MY,5.4112,100.3354,87.75,73,40,8.05,scattered clouds
111,Auki,SB,-8.7676,160.7034,82.02,76,97,1.05,overcast clouds
112,Vaini,TO,-21.2,-175.2,77.52,90,100,16.35,overcast clouds
113,Narsaq,GL,60.9167,-46.05,44.82,97,100,2.37,light rain
114,Odoyev,RU,53.9393,36.6864,66.94,89,100,13.94,overcast clouds
115,Skjervoy,NO,70.0311,20.9714,50.0,82,84,1.39,broken clouds
116,Yellowknife,CA,62.456,-114.3525,61.32,41,20,4.61,few clouds
117,Baneasa,RO,44.0461,26.0642,70.9,59,20,3.22,few clouds
118,Norman Wells,CA,65.282,-126.8329,68.04,56,75,5.75,broken clouds
119,Qaqortoq,GL,60.7167,-46.0333,39.88,97,100,4.23,overcast clouds
120,Topchikha,RU,52.8192,83.1185,68.29,64,55,4.43,broken clouds
121,Nanortalik,GL,60.1432,-45.2371,40.05,98,100,4.52,overcast clouds
122,Kushiro,JP,42.975,144.3747,68.95,77,40,10.36,scattered clouds
123,Meaford,CA,44.6001,-80.583,56.08,49,100,3.2,overcast clouds
124,Akureyri,IS,65.6835,-18.0878,53.53,76,100,9.22,overcast clouds
125,Cockburn Town,TC,21.4612,-71.1419,80.98,77,99,21.39,overcast clouds
126,Taoudenni,ML,22.6783,-3.9836,89.64,27,88,8.75,overcast clouds
127,Khatanga,RU,71.9667,102.5,57.18,37,100,4.09,overcast clouds
128,Muli,MV,2.9167,73.5667,83.46,70,57,10.56,broken clouds
129,Darnah,LY,32.767,22.6367,74.12,67,0,8.72,clear sky
130,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,94,100,14.9,overcast clouds
131,Manokwari,ID,-0.8667,134.0833,82.78,67,100,4.76,overcast clouds
132,Urumqi,CN,43.801,87.6005,83.35,19,0,4.47,clear sky
133,Pundri,IN,29.75,76.55,91.54,36,0,4.81,clear sky
134,Ellensburg,US,46.9965,-120.5479,61.11,68,0,21.85,clear sky
135,Jaranwala,PK,31.3333,73.4333,93.67,32,91,3.74,overcast clouds
136,Bilma,NE,18.6853,12.9164,83.82,15,0,13.0,clear sky
137,Atasu,KZ,48.6814,71.6433,87.21,20,100,9.01,overcast clouds
138,Shenzhen,CN,22.5455,114.0683,89.85,87,100,13.4,moderate rain
139,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,80,90,12.48,overcast clouds
140,Killarney,IE,52.05,-9.5167,44.8,97,8,3.96,clear sky
141,Zyryanka,RU,65.75,150.85,54.3,85,100,16.69,moderate rain
142,Tebingtinggi,ID,3.3285,99.1625,88.92,56,87,3.31,moderate rain
143,Torbay,CA,47.6666,-52.7314,56.17,95,100,20.71,mist
144,Vao,NC,-22.6667,167.4833,71.02,56,7,17.6,clear sky
145,Savannakhet,LA,16.566,104.751,91.42,62,40,4.61,scattered clouds
146,Suluq,LY,31.6682,20.2521,74.86,46,0,7.9,clear sky
147,Katangli,RU,51.7102,143.2326,52.34,82,64,10.13,broken clouds
148,Herat,AF,34.5,62.0,78.64,26,0,22.95,clear sky
149,Seddon,AU,-37.8068,144.8916,64.74,65,100,25.32,overcast clouds
150,Zhigansk,RU,66.7697,123.3711,51.1,49,21,26.19,few clouds
151,Necochea,AR,-38.5473,-58.7368,41.05,83,26,5.84,scattered clouds
152,Esperance,AU,-33.8667,121.9,59.9,68,99,11.79,overcast clouds
153,Caravelas,BR,-17.7125,-39.2481,69.91,83,1,4.56,clear sky
154,Ribeira Grande,PT,38.5167,-28.7,63.32,76,34,21.34,scattered clouds
155,Praia,CV,14.9215,-23.5087,73.94,94,75,8.05,haze
156,Saint-Philippe,RE,-21.3585,55.7679,70.11,77,80,15.46,light rain
157,Casino,AU,-28.8667,153.05,61.79,77,75,4.7,broken clouds
158,Mayo,US,38.8876,-76.5119,67.08,64,51,10.49,broken clouds
159,Ferme-Neuve,CA,46.7001,-75.4493,47.25,67,40,3.18,scattered clouds
160,Sitka,US,57.0531,-135.33,51.69,82,100,6.91,overcast clouds
161,Eyl,SO,7.9803,49.8164,82.8,54,69,31.07,broken clouds
162,Dongsheng,CN,39.8161,109.9776,82.2,31,100,11.7,overcast clouds
163,Sao Filipe,CV,14.8961,-24.4956,73.58,94,100,10.45,light rain
164,Roald,NO,62.5833,6.1333,57.16,82,20,1.14,few clouds
165,San-Pedro,CI,4.7485,-6.6363,75.25,86,99,4.34,overcast clouds
166,Russellville,US,35.2784,-93.1338,66.97,86,0,0.0,clear sky
167,Thinadhoo,MV,0.5333,72.9333,84.0,68,58,10.67,broken clouds
168,Hamada,JP,34.8833,132.0833,75.92,74,100,5.17,moderate rain
169,North Bend,US,43.4065,-124.2243,55.92,91,0,9.22,clear sky
170,San Quintin,MX,30.4833,-115.95,62.13,85,0,10.09,clear sky
171,Dargaville,NZ,-35.9333,173.8833,52.68,78,100,15.12,overcast clouds
172,Okhotsk,RU,59.3833,143.3,53.17,81,100,8.46,overcast clouds
173,Jalu,LY,29.0331,21.5482,79.41,37,0,4.29,clear sky
174,Salalah,OM,17.0151,54.0924,86.09,84,75,14.97,broken clouds
175,Muros,ES,42.7762,-9.0603,56.08,93,100,5.55,light rain
176,Mezen,RU,65.8522,44.24,54.34,61,66,3.71,broken clouds
177,Banamba,ML,13.55,-7.45,75.15,78,56,10.47,broken clouds
178,Chifeng,CN,42.2683,118.9636,98.22,22,85,14.18,overcast clouds
179,Kruisfontein,ZA,-34.0033,24.7314,47.25,86,71,4.9,broken clouds
180,Along,IN,28.1667,94.7667,72.84,99,100,0.29,overcast clouds
181,Rio Gallegos,AR,-51.6226,-69.2181,32.05,86,0,10.36,clear sky
182,Kaoma,ZM,-14.7833,24.8,50.32,67,6,4.94,clear sky
183,Lazaro Cardenas,MX,17.9583,-102.2,80.26,79,99,3.24,overcast clouds
184,Meulaboh,ID,4.1363,96.1285,81.77,80,88,3.89,overcast clouds
185,Port Blair,IN,11.6667,92.75,87.84,70,40,5.75,scattered clouds
186,Udachnyy,RU,66.4167,112.4,55.45,43,6,14.23,clear sky
187,Wenatchee,US,47.4235,-120.3103,62.89,44,0,19.57,clear sky
188,Isangel,VU,-19.55,169.2667,73.65,75,92,13.98,overcast clouds
189,Ondjiva,AO,-17.0667,15.7333,45.66,51,0,2.57,clear sky
190,Kelo,TD,9.3086,15.8066,73.56,81,100,4.5,overcast clouds
191,Tuatapere,NZ,-46.1333,167.6833,44.51,85,5,3.67,clear sky
192,Brae,GB,60.3964,-1.353,49.96,85,78,11.12,broken clouds
193,Bredasdorp,ZA,-34.5322,20.0403,47.64,87,0,3.74,clear sky
194,Tual,ID,-5.6667,132.75,80.38,76,100,7.63,overcast clouds
195,Moussoro,TD,13.6408,16.4901,84.43,49,95,9.06,overcast clouds
196,Avera,US,33.194,-82.5271,67.51,41,2,7.02,clear sky
197,Tiksi,RU,71.6872,128.8694,37.35,62,88,8.03,overcast clouds
198,Newcastle,AU,-32.9272,151.7765,64.17,79,75,1.99,broken clouds
199,Namibe,AO,-15.1961,12.1522,58.37,83,0,2.75,clear sky
200,Mahebourg,MU,-20.4081,57.7,75.25,88,40,11.5,scattered clouds
201,Horsham,GB,51.064,-0.3272,55.26,81,0,10.36,clear sky
202,Ucluelet,CA,48.9329,-125.5528,55.09,85,100,1.01,overcast clouds
203,Tasiilaq,GL,65.6145,-37.6368,44.76,68,80,6.17,broken clouds
204,Saldanha,ZA,-33.0117,17.9442,48.25,76,1,12.66,clear sky
205,Stonewall,CA,50.1344,-97.3268,89.28,83,0,13.76,clear sky
206,Belmonte,BR,-15.8631,-38.8828,70.75,86,26,8.28,scattered clouds
207,Karabash,RU,55.4808,60.2157,64.24,59,3,8.05,clear sky
208,Koygorodok,RU,60.445,50.9968,54.05,93,100,4.03,overcast clouds
209,Madinat Sittah Uktubar,EG,29.8167,31.05,74.8,64,0,10.92,clear sky
210,Nome,US,64.5011,-165.4064,65.16,65,0,17.27,clear sky
211,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.21,89,25,4.59,scattered clouds
212,Lakatoro,VU,-16.0999,167.4164,80.47,72,28,6.35,scattered clouds
