City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Nelson Bay,AU,2022-06-19 03:04:42,-32.7167,152.15,63.0,89,32,3.0
139,Cidreira,BR,2022-06-19 03:04:43,-30.1811,-50.2056,46.06,78,0,8.41
140,Hirara,JP,2022-06-19 03:04:43,24.8,125.2833,82.87,86,90,15.75
141,Bluff,NZ,2022-06-19 03:04:44,-46.6,168.3333,46.8,73,100,14.97
142,Inhambane,MZ,2022-06-19 03:04:44,-23.865,35.3833,64.81,80,0,7.56
143,Ankara,TR,2022-06-19 03:00:03,39.9199,32.8543,63.52,89,84,3.0
144,Talas,TR,2022-06-19 03:04:44,38.6908,35.5538,57.87,77,0,9.22
145,Chuy,UY,2022-06-19 03:04:45,-33.6971,-53.4616,41.38,65,5,8.34
146,Provideniya,RU,2022-06-19 03:04:45,64.3833,-173.3,56.8,50,12,8.03
147,Sitka,US,2022-06-19 03:04:45,57.0531,-135.33,55.29,76,100,5.75
148,Mayo,US,2022-06-19 03:04:46,38.8876,-76.5119,69.75,48,0,5.75
149,Saskylakh,RU,2022-06-19 03:04:46,71.9167,114.0833,39.38,77,100,24.56
150,Pooler,US,2022-06-19 03:00:03,32.1155,-81.2471,85.95,84,41,7.78
151,Tenango,MX,2022-06-19 03:04:46,18.65,-98.1833,70.83,72,100,3.18
152,Ribeira Grande,PT,2022-06-19 03:04:47,38.5167,-28.7,63.84,78,0,24.87
153,East London,ZA,2022-06-19 03:01:13,-33.0153,27.9116,60.49,70,91,6.69
154,Port Lincoln,AU,2022-06-19 03:04:47,-34.7333,135.8667,60.46,62,87,25.46
155,Clyde River,CA,2022-06-19 03:03:16,70.4692,-68.5914,32.63,76,0,6.71
156,Torbay,CA,2022-06-19 03:03:20,47.6666,-52.7314,60.28,89,100,3.0
157,New Norfolk,AU,2022-06-19 03:00:03,-42.7826,147.0587,56.91,83,34,3.0
158,Tanout,NE,2022-06-19 03:04:48,14.9709,8.8879,81.84,48,57,13.04
